Timestamp,ID,X,Y,dx,dy
1,5,-4.338,17.564,0.0,0.0
2,5,-4.262,17.468,0.076,-0.096
3,5,-4.185,17.392,0.077,-0.076
4,5,-4.127,17.296,0.058,-0.096
5,5,-4.05,17.296,0.077,0.0
6,5,-3.974,17.296,0.076,0.0
7,5,-3.974,17.296,0.0,0.0
8,5,-3.897,17.296,0.077,0.0
9,5,-3.974,17.296,-0.077,0.0
10,5,-4.127,17.468,-0.153,0.172
11,5,-4.262,17.564,-0.135,0.096
12,5,-4.338,17.564,-0.076,0.0
13,5,-4.569,17.468,-0.231,-0.096
14,5,-5.029,17.468,-0.46,0.0
15,5,-5.26,17.392,-0.231,-0.076
16,5,-5.336,17.392,-0.076,0.0
17,5,-5.336,17.296,0.0,-0.096
18,5,-5.413,17.296,-0.077,0.0
19,5,-5.49,17.2,-0.077,-0.096
20,5,-5.644,17.046,-0.154,-0.154
1,25,4.684,0.077,0.0,0.0
2,25,3.858,-0.019,-0.826,-0.096
3,25,3.014,-0.019,-0.844,0.0
4,25,2.265,-0.115,-0.749,-0.096
5,25,1.421,-0.192,-0.844,-0.077
6,25,0.672,-0.192,-0.749,0.0
7,25,-0.096,-0.192,-0.768,0.0
8,25,-0.787,-0.192,-0.691,0.0
9,25,-1.459,-0.192,-0.672,0.0
10,25,-2.227,-0.115,-0.768,0.077
11,25,-2.899,-0.115,-0.672,0.0
12,25,-3.59,-0.115,-0.691,0.0
13,25,-4.281,-0.019,-0.691,0.096
14,25,-4.953,0.077,-0.672,0.096
15,25,-5.644,0.154,-0.691,0.077
16,25,-6.085,0.422,-0.441,0.268
17,25,-6.853,0.499,-0.768,0.077
18,25,-7.621,0.691,-0.768,0.192
19,25,-8.293,0.768,-0.672,0.077
20,25,-9.137,0.845,-0.844,0.077
1,47,-4.338,16.873,0.0,0.0
2,47,-4.415,16.873,-0.077,0.0
3,47,-4.415,16.816,0.0,-0.057
4,47,-4.415,16.816,0.0,0.0
5,47,-4.492,16.777,-0.077,-0.039
6,47,-4.492,16.777,0.0,0.0
7,47,-4.492,16.777,0.0,0.0
8,47,-4.569,16.681,-0.077,-0.096
9,47,-4.645,16.681,-0.076,0.0
10,47,-4.799,16.681,-0.154,0.0
11,47,-4.876,16.681,-0.077,0.0
12,47,-5.029,16.681,-0.153,0.0
13,47,-5.106,16.681,-0.077,0.0
14,47,-5.26,16.681,-0.154,0.0
15,47,-5.336,16.681,-0.076,0.0
16,47,-5.413,16.681,-0.077,0.0
17,47,-5.49,16.681,-0.077,0.0
18,47,-5.567,16.681,-0.077,0.0
19,47,-5.644,16.777,-0.077,0.096
20,47,-5.72,16.777,-0.076,0.0
1,76,-8.638,16.777,0.0,0.0
2,76,-8.638,16.681,0.0,-0.096
3,76,-8.561,16.681,0.077,0.0
4,76,-8.561,16.605,0.0,-0.076
5,76,-8.485,16.605,0.076,0.0
6,76,-8.408,16.528,0.077,-0.077
7,76,-8.408,16.528,0.0,0.0
8,76,-8.331,16.432,0.077,-0.096
9,76,-8.331,16.432,0.0,0.0
10,76,-8.254,16.336,0.077,-0.096
11,76,-8.178,16.336,0.076,0.0
12,76,-8.101,16.336,0.077,0.0
13,76,-8.024,16.336,0.077,0.0
14,76,-7.87,16.432,0.154,0.096
15,76,-7.794,16.432,0.076,0.0
16,76,-7.717,16.528,0.077,0.096
17,76,-7.563,16.528,0.154,0.0
18,76,-7.486,16.605,0.077,0.077
19,76,-7.371,16.605,0.115,0.0
20,76,-7.275,16.605,0.096,0.0
1,79,-4.914,19.138,0.0,0.0
2,79,-4.914,19.138,0.0,0.0
3,79,-4.914,19.138,0.0,0.0
4,79,-4.914,19.138,0.0,0.0
