Timestamp,ID,X,Y,dx,dy
1,1,1.728,14.378,0.0,0.0
2,1,2.035,14.378,0.307,0.0
3,1,2.342,14.378,0.307,0.0
4,1,2.63,14.378,0.288,0.0
5,1,2.937,14.416,0.307,0.038
6,1,3.244,14.416,0.307,0.0
7,1,3.551,14.416,0.307,0.0
8,1,3.782,14.416,0.231,0.0
9,1,4.089,14.416,0.307,0.0
10,1,4.242,14.512,0.153,0.096
11,1,4.242,14.512,0.0,0.0
12,1,4.3,14.512,0.058,0.0
13,1,4.3,14.512,0.0,0.0
14,1,4.377,14.512,0.077,0.0
15,1,4.453,14.512,0.076,0.0
16,1,4.453,14.512,0.0,0.0
17,1,4.53,14.512,0.077,0.0
18,1,4.53,14.339,0.0,-0.173
19,1,4.53,14.263,0.0,-0.076
20,1,4.53,14.071,0.0,-0.192
1,2,7.122,-13.86,0.0,0.0
2,2,6.853,-13.591,-0.269,0.269
3,2,6.584,-13.341,-0.269,0.25
4,2,6.2,-13.341,-0.384,0.0
5,2,5.836,-13.341,-0.364,0.0
6,2,5.452,-13.341,-0.384,0.0
7,2,5.068,-13.341,-0.384,0.0
8,2,4.761,-13.245,-0.307,0.096
9,2,4.53,-13.245,-0.231,0.0
10,2,4.242,-13.149,-0.288,0.096
11,2,3.935,-13.072,-0.307,0.077
12,2,3.628,-13.072,-0.307,0.0
13,2,3.321,-13.072,-0.307,0.0
14,2,3.014,-13.072,-0.307,0.0
15,2,2.668,-13.111,-0.346,-0.039
16,2,2.342,-13.149,-0.326,-0.038
17,2,1.996,-13.245,-0.346,-0.096
18,2,1.766,-13.245,-0.23,0.0
19,2,1.536,-13.245,-0.23,0.0
20,2,1.229,-13.341,-0.307,-0.096
1,3,-11.633,18.006,0.0,0.0
2,3,-11.633,18.006,0.0,0.0
3,3,-11.633,18.006,0.0,0.0
4,3,-11.633,18.083,0.0,0.077
5,3,-11.633,18.083,0.0,0.0
6,3,-11.633,18.083,0.0,0.0
7,3,-11.633,18.159,0.0,0.076
8,3,-11.633,18.159,0.0,0.0
9,3,-11.633,18.159,0.0,0.0
10,3,-11.633,18.255,0.0,0.096
11,3,-11.633,18.255,0.0,0.0
12,3,-11.633,18.255,0.0,0.0
13,3,-11.556,18.351,0.077,0.096
14,3,-11.556,18.351,0.0,0.0
15,3,-11.556,18.351,0.0,0.0
16,3,-11.556,18.351,0.0,0.0
17,3,-11.556,18.351,0.0,0.0
18,3,-11.556,18.351,0.0,0.0
19,3,-11.556,18.351,0.0,0.0
20,3,-11.556,18.351,0.0,0.0
1,4,-10.903,19.426,0.0,0.0
2,4,-10.903,19.426,0.0,0.0
3,4,-10.827,19.426,0.076,0.0
4,4,-10.788,19.426,0.039,0.0
5,4,-10.769,19.426,0.019,0.0
6,4,-10.692,19.426,0.077,0.0
7,4,-10.654,19.426,0.038,0.0
8,4,-10.577,19.426,0.077,0.0
9,4,-10.577,19.426,0.0,0.0
10,4,-10.5,19.388,0.077,-0.038
11,4,-10.5,19.388,0.0,0.0
12,4,-10.5,19.311,0.0,-0.077
13,4,-10.5,19.311,0.0,0.0
14,4,-10.5,19.215,0.0,-0.096
15,4,-10.5,19.215,0.0,0.0
16,4,-10.5,19.215,0.0,0.0
17,4,-10.5,19.119,0.0,-0.096
18,4,-10.5,19.119,0.0,0.0
19,4,-10.5,19.042,0.0,-0.077
20,4,-10.5,19.042,0.0,0.0
1,5,-4.338,17.564,0.0,0.0
2,5,-4.262,17.468,0.076,-0.096
3,5,-4.185,17.392,0.077,-0.076
4,5,-4.127,17.296,0.058,-0.096
5,5,-4.05,17.296,0.077,0.0
6,5,-3.974,17.296,0.076,0.0
7,5,-3.974,17.296,0.0,0.0
8,5,-3.897,17.296,0.077,0.0
9,5,-3.974,17.296,-0.077,0.0
10,5,-4.127,17.468,-0.153,0.172
11,5,-4.262,17.564,-0.135,0.096
12,5,-4.338,17.564,-0.076,0.0
13,5,-4.569,17.468,-0.231,-0.096
14,5,-5.029,17.468,-0.46,0.0
15,5,-5.26,17.392,-0.231,-0.076
16,5,-5.336,17.392,-0.076,0.0
17,5,-5.336,17.296,0.0,-0.096
18,5,-5.413,17.296,-0.077,0.0
19,5,-5.49,17.2,-0.077,-0.096
20,5,-5.644,17.046,-0.154,-0.154
1,6,9.214,-11.806,0.0,0.0
2,6,8.907,-11.057,-0.307,0.749
3,6,8.6,-10.558,-0.307,0.499
4,6,8.216,-10.289,-0.384,0.269
5,6,7.774,-10.097,-0.442,0.192
6,6,7.467,-9.752,-0.307,0.345
7,6,7.122,-9.502,-0.345,0.25
8,6,6.776,-9.157,-0.346,0.345
9,6,6.431,-8.907,-0.345,0.25
10,6,6.047,-8.561,-0.384,0.346
11,6,5.759,-8.293,-0.288,0.268
12,6,5.375,-8.024,-0.384,0.269
13,6,4.991,-7.755,-0.384,0.269
14,6,4.684,-7.41,-0.307,0.345
15,6,4.319,-7.064,-0.365,0.346
16,6,4.012,-6.719,-0.307,0.345
17,6,3.705,-6.373,-0.307,0.346
18,6,3.244,-6.104,-0.461,0.269
19,6,2.86,-5.836,-0.384,0.268
20,6,2.419,-5.586,-0.441,0.25
1,7,14.128,11.556,0.0,0.0
2,7,14.359,11.306,0.231,-0.25
3,7,14.589,11.115,0.23,-0.191
4,7,14.819,10.846,0.23,-0.269
5,7,14.973,10.692,0.154,-0.154
6,7,15.165,10.423,0.192,-0.269
