Timestamp,ID,X,Y,dx,dy
1,2,7.122,-13.86,0.0,0.0
2,2,6.853,-13.591,-0.269,0.269
3,2,6.584,-13.341,-0.269,0.25
4,2,6.2,-13.341,-0.384,0.0
5,2,5.836,-13.341,-0.364,0.0
6,2,5.452,-13.341,-0.384,0.0
7,2,5.068,-13.341,-0.384,0.0
8,2,4.761,-13.245,-0.307,0.096
9,2,4.53,-13.245,-0.231,0.0
10,2,4.242,-13.149,-0.288,0.096
11,2,3.935,-13.072,-0.307,0.077
12,2,3.628,-13.072,-0.307,0.0
13,2,3.321,-13.072,-0.307,0.0
14,2,3.014,-13.072,-0.307,0.0
15,2,2.668,-13.111,-0.346,-0.039
16,2,2.342,-13.149,-0.326,-0.038
17,2,1.996,-13.245,-0.346,-0.096
18,2,1.766,-13.245,-0.23,0.0
19,2,1.536,-13.245,-0.23,0.0
20,2,1.229,-13.341,-0.307,-0.096
1,11,-11.095,18.467,0.0,0.0
2,11,-11.095,18.467,0.0,0.0
3,11,-11.095,18.467,0.0,0.0
4,11,-11.095,18.467,0.0,0.0
5,11,-11.095,18.467,0.0,0.0
6,11,-11.095,18.467,0.0,0.0
7,11,-11.095,18.467,0.0,0.0
8,11,-11.095,18.467,0.0,0.0
9,11,-11.095,18.467,0.0,0.0
10,11,-11.095,18.467,0.0,0.0
11,11,-11.095,18.467,0.0,0.0
12,11,-11.095,18.467,0.0,0.0
13,11,-11.095,18.467,0.0,0.0
14,11,-11.095,18.467,0.0,0.0
15,11,-11.095,18.467,0.0,0.0
16,11,-11.095,18.467,0.0,0.0
17,11,-11.095,18.467,0.0,0.0
18,11,-11.095,18.467,0.0,0.0
19,11,-11.095,18.467,0.0,0.0
20,11,-11.095,18.467,0.0,0.0
1,18,-11.556,18.351,0.0,0.0
2,18,-11.556,18.351,0.0,0.0
3,18,-11.556,18.351,0.0,0.0
4,18,-11.556,18.351,0.0,0.0
5,18,-11.556,18.351,0.0,0.0
6,18,-11.556,18.351,0.0,0.0
7,18,-11.556,18.351,0.0,0.0
8,18,-11.556,18.351,0.0,0.0
9,18,-11.556,18.351,0.0,0.0
10,18,-11.556,18.351,0.0,0.0
11,18,-11.556,18.351,0.0,0.0
12,18,-11.556,18.351,0.0,0.0
13,18,-11.556,18.351,0.0,0.0
14,18,-11.556,18.351,0.0,0.0
15,18,-11.556,18.351,0.0,0.0
16,18,-11.556,18.351,0.0,0.0
17,18,-11.556,18.351,0.0,0.0
18,18,-11.556,18.351,0.0,0.0
19,18,-11.556,18.351,0.0,0.0
20,18,-11.556,18.351,0.0,0.0
1,24,-11.095,18.467,0.0,0.0
2,24,-11.095,18.467,0.0,0.0
3,24,-11.095,18.467,0.0,0.0
4,24,-11.095,18.467,0.0,0.0
5,24,-11.095,18.467,0.0,0.0
6,24,-11.095,18.467,0.0,0.0
7,24,-11.095,18.467,0.0,0.0
8,24,-11.095,18.467,0.0,0.0
9,24,-11.095,18.467,0.0,0.0
10,24,-11.095,18.467,0.0,0.0
11,24,-11.095,18.467,0.0,0.0
12,24,-11.095,18.467,0.0,0.0
13,24,-11.095,18.467,0.0,0.0
14,24,-11.095,18.467,0.0,0.0
15,24,-11.095,18.467,0.0,0.0
16,24,-11.095,18.467,0.0,0.0
17,24,-11.095,18.467,0.0,0.0
18,24,-11.095,18.467,0.0,0.0
19,24,-11.095,18.467,0.0,0.0
20,24,-11.095,18.467,0.0,0.0
1,29,1.497,15.568,0.0,0.0
2,29,1.113,15.722,-0.384,0.154
3,29,0.825,15.914,-0.288,0.192
4,29,0.518,15.952,-0.307,0.038
5,29,0.173,15.99,-0.345,0.038
6,29,-0.173,16.029,-0.346,0.039
7,29,-0.211,16.125,-0.038,0.096
8,29,-0.134,16.125,0.077,0.0
9,29,-0.134,16.221,0.0,0.096
10,29,-0.058,16.297,0.076,0.076
11,29,0.019,16.297,0.077,0.0
12,29,0.096,16.393,0.077,0.096
13,29,0.096,16.393,0.0,0.0
14,29,0.173,16.47,0.077,0.077
15,29,0.25,16.47,0.077,0.0
16,29,0.25,16.566,0.0,0.096
17,29,0.326,16.643,0.076,0.077
18,29,0.403,16.643,0.077,0.0
19,29,0.403,16.739,0.0,0.096
20,29,0.48,16.739,0.077,0.0
1,41,9.502,-15.28,0.0,0.0
2,41,9.963,-15.51,0.461,-0.23
3,41,10.423,-15.664,0.46,-0.154
4,41,10.846,-15.894,0.423,-0.23
5,41,11.306,-16.125,0.46,-0.231
6,41,11.748,-16.278,0.442,-0.153
