Timestamp,ID,X,Y,dx,dy
1,14,-8.83,-13.552,0.0,0.0
2,14,-8.677,-13.456,0.153,0.096
3,14,-8.369,-13.303,0.308,0.153
4,14,-8.062,-13.111,0.307,0.192
5,14,-7.544,-12.842,0.518,0.269
6,14,-7.007,-12.497,0.537,0.345
7,14,-6.546,-12.151,0.461,0.346
8,14,-6.008,-11.882,0.538,0.269
9,14,-5.49,-11.729,0.518,0.153
10,14,-4.953,-11.633,0.537,0.096
11,14,-4.415,-11.46,0.538,0.173
12,14,-3.897,-11.383,0.518,0.077
13,14,-3.359,-11.287,0.538,0.096
14,14,-2.822,-11.191,0.537,0.096
15,14,-2.38,-11.191,0.442,0.0
16,14,-1.92,-11.287,0.46,-0.096
17,14,-1.459,-11.383,0.461,-0.096
18,14,-1.075,-11.383,0.384,0.0
19,14,-0.633,-11.46,0.442,-0.077
20,14,-0.173,-11.537,0.46,-0.077
1,34,-5.183,1.382,0.0,0.0
2,34,-5.49,1.536,-0.307,0.154
3,34,-5.855,1.996,-0.365,0.46
4,34,-6.162,2.342,-0.307,0.346
5,34,-6.431,2.764,-0.269,0.422
6,34,-6.738,3.11,-0.307,0.346
7,34,-7.045,3.455,-0.307,0.345
8,34,-7.352,3.897,-0.307,0.442
9,34,-7.659,4.262,-0.307,0.365
10,34,-7.947,4.607,-0.288,0.345
11,34,-8.254,4.953,-0.307,0.346
12,34,-8.561,5.202,-0.307,0.249
13,34,-8.945,5.567,-0.384,0.365
14,34,-9.252,5.797,-0.307,0.23
15,34,-9.617,6.162,-0.365,0.365
16,34,-9.924,6.411,-0.307,0.249
17,34,-10.308,6.757,-0.384,0.346
18,34,-10.615,7.103,-0.307,0.346
19,34,-10.923,7.371,-0.308,0.268
20,34,-11.287,7.717,-0.364,0.346
1,35,-10.04,1.037,0.0,0.0
2,35,-10.654,1.037,-0.614,0.0
3,35,-11.191,1.113,-0.537,0.076
4,35,-11.825,1.152,-0.634,0.039
5,35,-12.477,1.248,-0.652,0.096
6,35,-13.111,1.363,-0.634,0.115
7,35,-13.764,1.459,-0.653,0.096
8,35,-14.416,1.516,-0.652,0.057
9,35,-15.05,1.632,-0.634,0.116
10,35,-15.702,1.632,-0.652,0.0
11,35,-16.374,1.555,-0.672,-0.077
12,35,-17.142,1.555,-0.768,0.0
13,35,-17.814,1.632,-0.672,0.077
14,35,-18.505,1.824,-0.691,0.192
15,35,-19.196,1.977,-0.691,0.153
16,35,-19.868,2.246,-0.672,0.269
17,35,-20.636,2.419,-0.768,0.173
18,35,-21.096,2.86,-0.46,0.441
19,35,-21.615,3.283,-0.519,0.423
20,35,-22.075,3.724,-0.46,0.441
1,40,-26.433,11.652,0.0,0.0
2,40,-26.145,11.383,0.288,-0.269
3,40,-25.761,11.038,0.384,-0.345
4,40,-25.377,10.769,0.384,-0.269
5,40,-25.07,10.423,0.307,-0.346
6,40,-24.629,10.155,0.441,-0.268
7,40,-24.168,9.982,0.461,-0.173
8,40,-23.707,9.809,0.461,-0.173
9,40,-23.246,9.56,0.461,-0.249
10,40,-22.728,9.387,0.518,-0.173
11,40,-22.267,9.214,0.461,-0.173
12,40,-21.807,8.945,0.46,-0.269
13,40,-21.365,8.773,0.442,-0.172
14,40,-20.828,8.6,0.537,-0.173
15,40,-20.367,8.504,0.461,-0.096
16,40,-19.906,8.427,0.461,-0.077
17,40,-19.465,8.331,0.441,-0.096
18,40,-19.004,8.158,0.461,-0.173
19,40,-18.467,8.082,0.537,-0.076
20,40,-18.006,7.986,0.461,-0.096
1,42,4.684,13.168,0.0,0.0
2,42,5.298,12.9,0.614,-0.268
3,42,5.836,12.65,0.538,-0.25
4,42,6.431,12.381,0.595,-0.269
5,42,7.045,12.132,0.614,-0.249
6,42,7.506,11.767,0.461,-0.365
7,42,7.947,11.345,0.441,-0.422
8,42,8.408,10.827,0.461,-0.518
9,42,8.792,10.385,0.384,-0.442
10,42,9.252,9.944,0.46,-0.441
11,42,9.617,9.521,0.365,-0.423
12,42,10.078,9.08,0.461,-0.441
13,42,10.539,8.561,0.461,-0.519
14,42,10.923,8.12,0.384,-0.441
15,42,11.364,7.678,0.441,-0.442
16,42,11.825,7.333,0.461,-0.345
17,42,12.285,6.911,0.46,-0.422
18,42,12.746,6.469,0.461,-0.442
19,42,13.188,6.124,0.442,-0.345
20,42,13.648,5.682,0.46,-0.442
1,43,0.48,16.739,0.0,0.0
2,43,0.403,16.643,-0.077,-0.096
3,43,0.326,16.643,-0.077,0.0
4,43,0.25,16.566,-0.076,-0.077
5,43,0.173,16.47,-0.077,-0.096
6,43,0.096,16.393,-0.077,-0.077
7,43,0.019,16.297,-0.077,-0.096
8,43,-0.058,16.297,-0.077,0.0
9,43,-0.134,16.221,-0.076,-0.076
10,43,-0.211,16.125,-0.077,-0.096
11,43,-0.211,16.125,0.0,0.0
12,43,-0.134,16.221,0.077,0.096
13,43,-0.134,16.221,0.0,0.0
14,43,-0.058,16.221,0.076,0.0
15,43,-0.058,16.221,0.0,0.0
16,43,0.019,16.221,0.077,0.0
17,43,0.019,16.221,0.0,0.0
18,43,0.019,16.221,0.0,0.0
19,43,0.019,16.221,0.0,0.0
20,43,0.019,16.221,0.0,0.0
1,47,-4.338,16.873,0.0,0.0
2,47,-4.415,16.873,-0.077,0.0
3,47,-4.415,16.816,0.0,-0.057
4,47,-4.415,16.816,0.0,0.0
5,47,-4.492,16.777,-0.077,-0.039
6,47,-4.492,16.777,0.0,0.0
7,47,-4.492,16.777,0.0,0.0
8,47,-4.569,16.681,-0.077,-0.096
9,47,-4.645,16.681,-0.076,0.0
10,47,-4.799,16.681,-0.154,0.0
11,47,-4.876,16.681,-0.077,0.0
12,47,-5.029,16.681,-0.153,0.0
13,47,-5.106,16.681,-0.077,0.0
14,47,-5.26,16.681,-0.154,0.0
15,47,-5.336,16.681,-0.076,0.0
16,47,-5.413,16.681,-0.077,0.0
17,47,-5.49,16.681,-0.077,0.0
18,47,-5.567,16.681,-0.077,0.0
19,47,-5.644,16.777,-0.077,0.096
20,47,-5.72,16.777,-0.076,0.0
1,55,-26.567,-6.507,0.0,0.0
2,55,-26.183,-6.757,0.384,-0.25
3,55,-25.646,-6.93,0.537,-0.173
4,55,-25.185,-7.199,0.461,-0.269
5,55,-24.648,-7.448,0.537,-0.249
6,55,-24.206,-7.64,0.442,-0.192
7,55,-23.669,-7.89,0.537,-0.25
8,55,-23.227,-8.062,0.442,-0.172
9,55,-22.69,-8.331,0.537,-0.269
10,55,-22.229,-8.6,0.461,-0.269
11,55,-21.692,-8.753,0.537,-0.153
12,55,-21.231,-9.022,0.461,-0.269
13,55,-20.751,-9.118,0.48,-0.096
14,55,-20.252,-9.195,0.499,-0.077
15,55,-19.791,-9.368,0.461,-0.173
16,55,-19.35,-9.464,0.441,-0.096
17,55,-18.851,-9.54,0.499,-0.076
18,55,-18.39,-9.636,0.461,-0.096
19,55,-17.872,-9.713,0.518,-0.077
20,55,-17.334,-9.905,0.538,-0.192
1,64,-4.799,19.177,0.0,0.0
2,64,-4.799,19.177,0.0,0.0
3,64,-4.876,19.138,-0.077,-0.039
4,64,-4.876,19.138,0.0,0.0
5,64,-4.876,19.138,0.0,0.0
6,64,-4.876,19.138,0.0,0.0
7,64,-4.876,19.138,0.0,0.0
8,64,-4.876,19.138,0.0,0.0
9,64,-4.876,19.138,0.0,0.0
10,64,-4.876,19.138,0.0,0.0
11,64,-4.876,19.138,0.0,0.0
12,64,-4.876,19.138,0.0,0.0
13,64,-4.876,19.138,0.0,0.0
14,64,-4.914,19.138,-0.038,0.0
15,64,-4.914,19.138,0.0,0.0
16,64,-4.914,19.138,0.0,0.0
17,64,-4.914,19.138,0.0,0.0
18,64,-4.914,19.138,0.0,0.0
19,64,-4.914,19.138,0.0,0.0
20,64,-4.914,19.138,0.0,0.0
1,73,-0.173,15.299,0.0,0.0
